cell_filename,image_id,cell_id,cell_type,wbc_category
BloodImage_000_00.jpg,0,0,WBC,NEUTROPHIL
BloodImage_000_01.jpg,0,1,RBC,
BloodImage_000_02.jpg,0,2,RBC,
BloodImage_000_03.jpg,0,3,RBC,
BloodImage_000_04.jpg,0,4,RBC,
BloodImage_000_05.jpg,0,5,RBC,
BloodImage_000_06.jpg,0,6,RBC,
BloodImage_000_07.jpg,0,7,RBC,
BloodImage_000_08.jpg,0,8,RBC,
BloodImage_000_09.jpg,0,9,RBC,
BloodImage_000_10.jpg,0,10,RBC,
BloodImage_000_11.jpg,0,11,RBC,
BloodImage_000_12.jpg,0,12,RBC,
BloodImage_000_13.jpg,0,13,RBC,
BloodImage_000_14.jpg,0,14,RBC,
BloodImage_000_15.jpg,0,15,RBC,
BloodImage_000_16.jpg,0,16,RBC,
BloodImage_000_17.jpg,0,17,RBC,
BloodImage_000_18.jpg,0,18,RBC,
BloodImage_000_19.jpg,0,19,RBC,
BloodImage_001_00.jpg,1,0,WBC,NEUTROPHIL
BloodImage_001_01.jpg,1,1,RBC,
BloodImage_001_02.jpg,1,2,RBC,
BloodImage_001_03.jpg,1,3,RBC,
BloodImage_001_04.jpg,1,4,RBC,
BloodImage_001_05.jpg,1,5,RBC,
BloodImage_001_06.jpg,1,6,RBC,
BloodImage_001_07.jpg,1,7,RBC,
BloodImage_001_08.jpg,1,8,RBC,
BloodImage_001_09.jpg,1,9,RBC,
BloodImage_001_10.jpg,1,10,RBC,
BloodImage_001_11.jpg,1,11,RBC,
BloodImage_001_12.jpg,1,12,RBC,
BloodImage_001_13.jpg,1,13,RBC,
BloodImage_001_14.jpg,1,14,RBC,
BloodImage_001_15.jpg,1,15,RBC,
BloodImage_001_16.jpg,1,16,RBC,
BloodImage_001_17.jpg,1,17,RBC,
BloodImage_001_18.jpg,1,18,RBC,
BloodImage_002_00.jpg,2,0,RBC,
BloodImage_002_01.jpg,2,1,RBC,
BloodImage_002_02.jpg,2,2,RBC,
BloodImage_002_03.jpg,2,3,RBC,
BloodImage_002_04.jpg,2,4,RBC,
BloodImage_002_05.jpg,2,5,RBC,
BloodImage_002_06.jpg,2,6,RBC,
BloodImage_002_07.jpg,2,7,RBC,
BloodImage_002_08.jpg,2,8,RBC,
BloodImage_002_09.jpg,2,9,RBC,
BloodImage_002_10.jpg,2,10,RBC,
BloodImage_002_11.jpg,2,11,RBC,
BloodImage_002_12.jpg,2,12,WBC,NEUTROPHIL
BloodImage_002_13.jpg,2,13,RBC,
BloodImage_002_14.jpg,2,14,RBC,
BloodImage_002_15.jpg,2,15,RBC,
BloodImage_003_00.jpg,3,0,WBC,NEUTROPHIL
BloodImage_003_01.jpg,3,1,RBC,
BloodImage_003_02.jpg,3,2,RBC,
BloodImage_003_03.jpg,3,3,RBC,
BloodImage_003_04.jpg,3,4,RBC,
BloodImage_003_05.jpg,3,5,RBC,
BloodImage_003_06.jpg,3,6,RBC,
BloodImage_003_07.jpg,3,7,RBC,
BloodImage_003_08.jpg,3,8,RBC,
BloodImage_003_09.jpg,3,9,RBC,
BloodImage_003_10.jpg,3,10,RBC,
BloodImage_003_11.jpg,3,11,RBC,
BloodImage_003_12.jpg,3,12,RBC,
BloodImage_003_13.jpg,3,13,RBC,
BloodImage_003_14.jpg,3,14,RBC,
BloodImage_003_15.jpg,3,15,RBC,
BloodImage_003_16.jpg,3,16,Platelets,
BloodImage_004_00.jpg,4,0,WBC,NEUTROPHIL
BloodImage_004_01.jpg,4,1,RBC,
BloodImage_004_02.jpg,4,2,RBC,
BloodImage_004_03.jpg,4,3,RBC,
BloodImage_004_04.jpg,4,4,RBC,
